description,unit,rate,Unnamed: 3
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780 P LED33S-6500 PSU W7L112 OD SI
  ÃÂ¥ Size :  1120 W X 70 D']",Rmt,12500.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780 X LED52S-6500 PSU W6L224 OD SI
  ÃÂ¥ Size :  2240 W X 60 D']",Rmt,23000.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780 X LED26S-6500 PSU W6L112 OD SI
  ÃÂ¥ Size :  1120 W X 60 D']",Rmt,12000.0,
"['Supply and installation of Suspended 60mm/75mm width aluminium extruded linear lighting luminaires with superior white powder coated finish SP780X LED11S-6500 PSU W6L56 OD SI
  ÃÂ¥ Size :  560 W X 60 D']",Rmt,7700.0,
"['Supply and installation of PureLine Taper suspended lighting solution with taper end (bottom width of 60mm & top width of 50mm)
 SP811P LED33S-6500 PSU W6L120 OD SI
  ÃÂ¥ Size :  1200 W X 60 D']",Nos,15000.0,
"['Supply and installation of PureLine Taper suspended lighting solution with taper end (bottom width of 60mm & top width of 50mm)
 SP811X LED44S-6500 PSU W6L240 OD SI
  ÃÂ¥ Size :  2400 W X 60 D']",Nos,30000.0,
"['Supply and installation of Suspended-Surface Mounted Luminaires Extruded aluminium suspended diffused office lighting solutions with up-down light distribution, FOR standalone and continuous mounting versions in 4ft & 8ft run lengths.SP095V LED40S 865 W7L120 PSU WH
  ÃÂ¥ Size :  1200 W X 70 D']",Nos,6000.0,
"['Supply and installation of PowerBalance - recessed luminaire , Aluminium extruded recessed luminaire with 135mm diffused compartment available both in standalone & continuous options suitable for Armstrong Techzone ceiling.RC600B M LED25S-6500 PSU W30L120 WH
  ÃÂ¥ Size :  1200 W X 30 D']",Nos,11500.0,
"['Supply and installation of PowerBalance - recessed luminaire , Aluminium extruded recessed luminaire with 135mm diffused compartment available both in standalone & continuous options suitable for Armstrong Techzone ceiling. RC600B M LED30S-6500 PSU W60L60 WH
ÃÂ¥ Size :  60 W X 60 D']",Nos,11500.0,
"['Supply and installation of recessed luminaire -  RC480B LED30S/865 W60L60 PSU WH / 
  RC480B LED25S/865 W60L60 PSU WH
ÃÂ¥ Size :  60 W X 60 D']",Nos,4800.0,
"['Supply and installation of recessed mounted 2'X2' LED luminaire suitable for grid ceilings with 100% indirect lighting, delivering soft and uniform light for excellent visual comfort.RC 420B M LED 30S 6500 PSU WH
ÃÂ¥ Size :  60 W X 60 D']",Nos,6000.0,
"['Supply and installation of Full Glow G6  recessed luminaire  RC380B LED25S-6500 G6 L60W60 PSU OD
ÃÂ¥ Size :  60 W X 60 D']",Nos,4000.0,
"['Supply and installation of  SoftGlow - recessed luminaire 
(fully diffused recessed mounted 2'X2' LED Troffer with microprismatic diffuser suitable for indoor spaces)  RC380B LED30S-6500 G5 L60W60 PSU OD SG
ÃÂ¥ Size :  60 W X 60 D']",Nos,5600.0,
"['Supply and installation of  L. SmartGlow - recessed luminaire 
SmartGlow is an intelligent office lighting recessed luminaire with built-in PIR occupancy sensor offering flexibility of auto switching off when the space is not occupied. RC383B LED 36S-4000 PSU OD WH PIR
ÃÂ¥ Size :  60 W X 60 D']",Nos,6000.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.) 
RS378Z M102 D150 R-R AJU
ÃÂ¥ Size :  150 D']",Nos,4500.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M87 D130 R-R AJ D
ÃÂ¥ Size :  130 D']",Nos,4000.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M87 D110 R-R FX D
ÃÂ¥ Size :  110 D']",Nos,2700.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M70 D90 R-R FX D
ÃÂ¥ Size :  90 D']",Nos,2000.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.) 
RS378Z M55 D60 R-R FX']",Nos,1400.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D75 R-R FX
ÃÂ¥ Size :  75 D']",Nos,1500.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D70 R-R AJ
ÃÂ¥ Size :  70 D']",Nos,1600.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.) 
RS378Z M55 D85 R-R AJ
ÃÂ¥ Size :  85 D']",Nos,2300.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D95 R-R AJ
ÃÂ¥ Size :  95 D']",Nos,2400.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D78 S-S AJ D
ÃÂ¥ Size :  78 D']",Nos,2800.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D92 R-R AJ D
ÃÂ¥ Size :  92 D']",Nos,3200.0,
"['Supply and installation of  GreenSpace Flex - DOWN LIGHTERS 
(GreenSpace Flex is a modular range of downlighters, with extremely low glare (UGR <19). The range is available in narrow (15ÃÂ¡), medium (24ÃÂ¡) & wide beam (38ÃÂ¡) optics, suitable for different applications & ceiling heights.)
RS378Z M55 D102 R-R AJ D
ÃÂ¥ Size :  102 D']",Nos,3500.0,
"['Light fixture: 
Supply and installation of ceiling light Downlighter 150mm dia garnet 12 w 6k round ']",Nos.,845.0,
"['Light fixture: 
Supply and installation of ceiling light Downlighter 150mm  garnet 15 w 6k Square']",Nos.,780.0,
"['600 mm VELOCITY
Hi-Speed Fan sweep White   
FHCVESTWHT24
Make - Havells ']",Nos,2925.0,
"['900 mm:   AEROKING ES, Elegant White   
FHCAK1SWHT36
Make - Havells ']",Nos,2925.0,
"['1200 mm:  AEROKING ES, Elegant White   
FHCAK1SWHT48
Make - Havells ']",Nos,2925.0,
"['1400 mm:  AEROKING ES, Elegant White   
FHCAK1SWHT56 
Make - Havells ']",Nos,3575.0,
"[' Raceway :100 mm(W) x 40(H) mm
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Rmt,845.0,
"[' Raceway :200 mm(W) x 40(H) mm with cover
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Rmt,1436.5,
"[' Raceway :300 mm(W) x 40(H) mm with cover
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Rmt,1989.0,
"[' Junction box : 150(W) x 150(D) x 65(H) mm 
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Nos.,1414.4,
"[' Junction box : 250(W) x 250(D) x 65(H) mm 
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Nos.,1813.5,
"['Junction box : 350(W) x 350(D) x 65(H) mm 
Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Nos.,2827.5,
"['Supply and installation of GI race ways with cover shall be made out of 1.6mm thick GI sheet & JBs shall be made out of 1.6mm thick sheet with 2mm thick cover. Quoted rate for installation shall include necessary anchor fasteners, suspension rods for supporting the Raceway.']",Nos.,1729.0,
"[' 150 mm wide x 40 mm x 1.6 mm thk 
Design manufacture, supply and fixing in position the cable trays of the following sizes for supporting 1.1 KV grade armoured/unarmoured aluminium /copper conductor cables. Fabricate the cable trays from perforated 1.6/2mm thick M.S. CRCA sheet duly galvanised with expansion coupler plates duly galvanised,  with bolts, washer and nuts. Knock out holes for cable connections as per approved design. The tray should comply with the specification of NEC (National Electric Codes) and NEMA (National Electric Manufacturers Association).  The steel should be as per IS:226 and galvanising as per IS :2629/BS 729/ASTM 123.  The rate shall also include for supporting steel, fish plates, fixing accessories, nuts bolts, supporting down rods, dash fastener, cutting the RCC etc. complete as required. (the horizontal and vertical bends, T's should be factory fabricated and the rate should include for the same). ']",Mtr,487.5,
"['300 mm wide x 50 mm x 1.6 mm thk
Design manufacture, supply and fixing in position the cable trays of the following sizes for supporting 1.1 KV grade armoured/unarmoured aluminium /copper conductor cables. Fabricate the cable trays from perforated 1.6/2mm thick M.S. CRCA sheet duly galvanised with expansion coupler plates duly galvanised,  with bolts, washer and nuts. Knock out holes for cable connections as per approved design. The tray should comply with the specification of NEC (National Electric Codes) and NEMA (National Electric Manufacturers Association).  The steel should be as per IS:226 and galvanising as per IS :2629/BS 729/ASTM 123.  The rate shall also include for supporting steel, fish plates, fixing accessories, nuts bolts, supporting down rods, dash fastener, cutting the RCC etc. complete as required. (the horizontal and vertical bends, T's should be factory fabricated and the rate should include for the same). ']",Mtr,659.1,
"['450 mm wide x 50 mm x 2.0 mm thk 
Design manufacture, supply and fixing in position the cable trays of the following sizes for supporting 1.1 KV grade armoured/unarmoured aluminium /copper conductor cables. Fabricate the cable trays from perforated 1.6/2mm thick M.S. CRCA sheet duly galvanised with expansion coupler plates duly galvanised,  with bolts, washer and nuts. Knock out holes for cable connections as per approved design. The tray should comply with the specification of NEC (National Electric Codes) and NEMA (National Electric Manufacturers Association).  The steel should be as per IS:226 and galvanising as per IS :2629/BS 729/ASTM 123.  The rate shall also include for supporting steel, fish plates, fixing accessories, nuts bolts, supporting down rods, dash fastener, cutting the RCC etc. complete as required. (the horizontal and vertical bends, T's should be factory fabricated and the rate should include for the same). ']",Mtr,955.5,
"[' 600 mm wide x 50 mm x 2.0 mm thk 
Design manufacture, supply and fixing in position the cable trays of the following sizes for supporting 1.1 KV grade armoured/unarmoured aluminium /copper conductor cables. Fabricate the cable trays from perforated 1.6/2mm thick M.S. CRCA sheet duly galvanised with expansion coupler plates duly galvanised,  with bolts, washer and nuts. Knock out holes for cable connections as per approved design. The tray should comply with the specification of NEC (National Electric Codes) and NEMA (National Electric Manufacturers Association).  The steel should be as per IS:226 and galvanising as per IS :2629/BS 729/ASTM 123.  The rate shall also include for supporting steel, fish plates, fixing accessories, nuts bolts, supporting down rods, dash fastener, cutting the RCC etc. complete as required. (the horizontal and vertical bends, T's should be factory fabricated and the rate should include for the same). ']",Mtr,1303.9,
"[' 20 mm dia conduit ( 1.6 mm thick)               
Providing and fixing in position the following M.S. conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                ']",Mtr,195.0,
"[' 25 mm dia conduit  (1.6 mm thick)              
Providing and fixing in position the following M.S. conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                ']",Mtr,292.5,
"[' 32 mm dia conduit  (1.6 mm thick
Providing and fixing in position the following M.S. conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                 ']",Mtr,455.0,
"[' 20 mm dia conduit ( 1.6 mm thick)               
Providing and fixing in position the  following FRLS PVC conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                ']",Rmt,240.5,
"[' 25 mm dia conduit  (1.6 mm thick)              
Providing and fixing in position the  following FRLS PVC conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                ']",Rmt,357.5,
"[' 32 mm dia conduit  (1.6 mm thick)              
Providing and fixing in position the  following FRLS PVC conduits including all accessories concealed in F. ceiling/wall/floor as required including 1.6 mm thick M.S. junction or pull boxes with 3mm thick perspex sheet cover plate compl_te with  1.6 mm dia. G.I. pull wires in the length of conduit.                                ']",Rmt,539.5,
"['Numeric 20 KVA, 3 phase, 3 year warranty
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,364000.0,
"['Numeric 6 KVA, 1 phase, 3 year warranty
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,119600.0,
"['20 KVA, 3 phase, 2 year warranty, APC
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,271700.0,
"['MS Rack: Painted and Link
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,9100.0,
"['65Ah battery Exide
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,6370.0,
"['6 KVA, 1 phase, 2 year warranty, APC
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,79950.0,
"['MS Rack: Painted and Link
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,6500.0,
"['26Ah battery Excide SMF Sealed MAintainace free battery
Supply, Installation, testing and commissioning of 2.5 KVA UPS along with the battery bank with battery bank suitable for 90 minutes back up. Battery enclosures and batteries as required as per the specifications. ']",No's,3315.0,
['Supply and laying of Cat6 E Cable with using of PVC conduit'],Mtr,163.0,
"['Cat 6 Information Outlets Yellow with back box- Active DATA (User side)
Supply and laying of Cat6 E Cable with using of PVC conduit']",Nos,163.0,
"['Cat 6 Information Outlets Yellow with back box- Voice (User side)
Supply and laying of Cat6 E Cable with using of PVC conduit']",Nos,163.0,
"['Cat 6 Information Outlets Yellow with back box- Blue -Active DATA (User side)
Supply and laying of Cat6 E Cable with using of PVC conduit']",Nos,163.0,
"['Cable box Cat-6 
Supply and laying of Cat6 E Cable with using of PVC conduit']",Nos.,9928.0,
['Supply and installation of dual Faceplates without I/O'],Nos.,95.0,
['Supply and installation of Quad Faceplates without I/O'],Nos.,149.0,
"['Cat 6 24 port Jack Panel - loaded - A data
Supply and installation of Quad Faceplates without I/O']",Nos.,3400.0,
"['Cat 6 24 port Jack Panel - loaded - A voice
Supply and installation of Quad Faceplates without I/O']",Nos.,3400.0,
"['Blank Inserts
Supply and installation of Quad Faceplates without I/O']",Nos.,68.0,
"['Cat 6 24 port Jack Panel - loaded - Voice riser
Supply and installation of Quad Faceplates without I/O']",Nos.,2176.0,
"['25 pair riser cable indoor type
Supply and installation of Quad Faceplates without I/O']",Mtr.,204.0,
"['50 pair riser cable indoor type
Supply and installation of Quad Faceplates without I/O']",Mtr.,340.0,
"['10 pair krone module.
Supply and installation of Quad Faceplates without I/O']",Nos.,408.0,
"['50 pair MDF boxes with accessories
Supply and installation of Quad Faceplates without I/O']",Nos.,3500.0,
"['42U Networking Rack (800 x1000 mm ) with accessories for data Networking rack .Open rack
Supply and installation of D-Link 12 U RackSupply and installation of Quad Faceplates without I/O']",Nos.,36200.0,
"['Horizontal wire manager-2U
Supply and installation of D-Link 12 U RackSupply and installation of Quad Faceplates without I/O']",Nos.,1418.0,
"['Power Distribution Channel (6 Points - 5A Socket) - Vertical for 42 U
Supply and installation of D-Link 12 U RackSupply and installation of Quad Faceplates without I/O']",Nos.,748.0,
"['Hardware packets
Supply and installation of D-Link 12 U RackSupply and installation of Quad Faceplates without I/O']",Packet,145.0,
"['Installation, terminating, crimping, commissioning, testing ,penta scaning, documentation and certification of voice/data outlet with all fixing accessories
Supply and installation of D-Link 12 U RackSupply and installation of Quad Faceplates without I/O']",Points,295.0,
['Supply and installation of D-Link CAT 6 Patch Panel 24 Port'],Nos.,11050.0,
['Supply and installation of D-Link CAT 6 Patch Cord 2 Mtr Blue colour'],Nos.,204.0,
['Supply and installation of D-Link CAT 6 Patch Cord 1 Mtr Blue colour'],Nos.,163.0,
['Supply and installation of D-Link CAT 6 Patch Cord 2 Mtr Yellow colour'],Nos.,204.0,
['Supply and installation of D-Link CAT 6 Patch Cord 1 Mtr yellow colour'],Nos.,163.0,
['Supply and installation Wi Fi - TP-Link EAP 225 Wi-Fi Access Point],Nos.,9750.0,
['Supply and installation D-Link DAP 2230 Wi-Fi Access Point'],Nos.,6825.0,
"['1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Nos.,8897.0,
"['Supply, installation, testing & commissioning of Network Video Recorder Server and Software for recording upto 4 cameras with MPEG2 and MPEG-4 sources simultaneously at a minimum stream of 70 MBPS, analog monitor support and networked multi-user option/client & server complete as per specifications and as required. provide suitable size of internal and external hard disk capacity 24 x 7 for 60 days (Cost of recommended PC and legal software for PC in the client scope. Recoding shall be motion based. with 4TB HDD. Make CP Plus']",Nos.,26845.0,
"['LED Monitor: 43 inch LED Display Monitor with HDMI & other inputs. 
Make Samsung with 3 year warranty. Model Be43']",Nos.,42185.0,
"['S/I/T/C of Managed Layer 2 POE Ethernet Switch with 24 channel port 10/100/1000 Mbps including lockable racks and other accessories (Max .data transfer rate is 1 GB/S)
Make Cisco CBS350-24P-4G']",Nos.,43719.0,
"['Cat 6 24 Port Jackpanel - loaded- A DATA. Make D-Link
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Nos.,9971.0,
"['Cat 6 24 Port Jackpanel - loaded- A DATA. Make Amp
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Nos.,9971.0,
"['Cat 6 Information Outlets with back box- Blue -Active DATA (User side)
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Nos.,184.0,
"['Patchcords- CAT 6A- 4 fts-Blue- ( RJ45-RJ45 ) for Resource side (Active Data)
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Nos.,383.0,
"['Cat-6 cable with required terminations as required with Cable tie`s & Tags.
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Mtr,46.0,
"['12 U Wall mounted Networking Rack with accessories for CCTV Networking rack .
Make Dynamic with tray, fan kit, PDU with MCB. 5 nos. 6 amp sockets, hardware lock set.']",Nos.,8437.0,
"['25 mm dia conduit ( 1.6 mm wall thickness)
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Mtr,210.0,
"['32 mm dia conduit ( 1.6 mm wall thickness)
1/2.8inch interline CCD Indoor Fixed Dome IP Colour Cameras 2 MP 0.3 lux at 30IRE minimum illumination sensitivity supporting 4 CIF resolution at 15 FPS with dual MPEG4 Streaming, electronic shutter, switchable automatic gain control, auto white balance, back light compensation, with fixed 3.6 - 10 mm auto iris lens, including cost of suitable wall / ceiling surface/ recessed mounting IP Rugged Dome camera. The camera shall be capable of functioning through Power over Ethernet (PoE) for installation with only one cable. The camera system shall be as a single integrated unit and shall be complete with all interconenctions etc as required. Make CP Plus CPUNR0401F1']",Mtr,295.0,
['Supply of Hikvision DS-7B04HQHI-K1 4 Ch DVR'],Nos.,7150.0,
"['Supply of Hikvision 2 MP Dome Camera with 20 Mtr, Range, Night Vision,3.6mm Lens']",Nos.,3250.0,
['Supply of Surveillance HDD 2 TB Make WD/Seagate '],Nos.,8840.0,
"[' Capacity 2 Kg. 
Providing and fixing  Clean Agent (FE 36)  based  like portable fire extinguishers  fixed to wall with brackets complete  (Note: The cost for stand of fire extinguisher shall be included in this rate) ']",Nos.,9750.0,
"[' Capacity 4 Kg. 
Providing and fixing  Clean Agent (FE 36)  based  like portable fire extinguishers  fixed to wall with brackets complete  (Note: The cost for stand of fire extinguisher shall be included in this rate) ']",Nos.,11240.0,
"[' Capacity 5 Kg.
Providing and fixing ceiling mounted  Clean Agent (FE 36) based like portable fire extinguishers with auto discharge mechanism, all complete. Installation cost included.']",Nos.,16500.0,
"[' Capacity 2 Kg.
Providing and fixing fully charged  ABC powder type (Mono-Ammonium Phosphate - MAP 90) portable fire extinguishers   conforming to IS:15683, fixed to wall with brackets complete with initial charge. (Note: The cost for stand of fire extinguisher shall be included in this rate)']",Nos.,2580.0,
"[' Capacity 6 Kg.
Providing and fixing fully charged  ABC powder type (Mono-Ammonium Phosphate - MAP 90) portable fire extinguishers   conforming to IS:15683, fixed to wall with brackets complete with initial charge. (Note: The cost for stand of fire extinguisher shall be included in this rate)']",Nos.,4650.0,
"[' Capacity 4.5 Kg.
Providing and fixing CO2 type cylindrical shape fire extinguisher with fixing hangers, hose, brackets, screws to required size etc. Complete as per IS:15683:2006 - wall mounted type.']",Nos.,6675.0,
"[' Operating Temp.: 68 deg. C.
Providing and fixing of brass body quartzoid bulb type automatic sprinkler heads set to operate at specified temperature of following types. Sprinkler heads shall be complete with deflector (UL Listed and FM Approved)']",Nos.,553.0,
"[' Operating Temp.: 79 deg. C. (for Kitchen Area)
Providing and fixing of brass body quartzoid bulb type automatic sprinkler heads set to operate at specified temperature of following types. Sprinkler heads shall be complete with deflector (UL Listed and FM Approved)']",Nos.,780.0,
"[' Operating Temp. : 68 deg. C.
Providing and fixing of brass body quartzoid bulb type automatic sprinkler heads set to operate at specified temperature of following types. Sprinkler heads shall be complete with deflector (UL Listed and FM Approved)']",Nos.,553.0,
"['Type : Quick Response Type  Sidewall type Sprinklers   
Size : 15 mm dia 
Finish: Chrome
Operating Temp. : 68 deg.C.']",Nos.,665.0,
